comp	press_sim	temp_sim	apl_mean	apl_serr	strain	ka_mean	ka_serr	dpp_mean	dpp_serr	relax_time	n_leaflet	remarks
18:0/20:4 PE	1	20.000	61.492	0.177		230	25	41.818	0.480		128	
18:0/20:4 PE	250	20.000	60.607	0.160	0.014	279	25	41.805	0.470		128	
18:0/20:4 PE	500	20.000	59.278	0.174	0.036	265	25	42.126	0.473		128	
18:0/20:4 PE	750	20.000	58.616	0.219	0.047	242	25	42.215	0.504		128	
18:0/20:4 PE	1000	20.000	57.682	0.236	0.062	260	25	42.475	0.497		128	
18:0/20:4 PE	1500	20.000	56.328	0.225	0.084	292	25	42.643	0.440		128	
18:0/20:4 P-PE	1	20.000	62.814	0.133		284	25	40.970	0.434		128	
18:0/20:4 P-PE	250	20.000	62.149	0.160	0.011	286	25	40.826	0.431		128	
18:0/20:4 P-PE	500	20.000	61.251	0.170	0.025	275	25	40.860	0.440		128	
18:0/20:4 P-PE	750	20.000	60.590	0.193	0.035	249	25	40.899	0.446		128	
18:0/20:4 P-PE	1000	20.000	59.560	0.182	0.052	387	25	41.186	0.404	50	128	Definitely needed some production time to relax…discarded the first 50 nsec
18:0/20:4 P-PE	1500	20.000	58.423	0.230	0.070	336	25	41.260	0.425	100	128	Needed even more time to relax…discarded the first 100 nsec
18:0/18:1 PE	1	60.000	61.349	0.123		263	25	42.296	0.518		128	
18:0/18:1 PE	500	60.000	58.033	0.154	0.054	246	25	43.044	0.547		128	
18:0/18:1 PE	1000	60.000	55.106	0.272	0.102	195	25	44.009	0.626		128	
18:0/18:1 P-PE	1	60.000	62.841	0.090		323	25	41.214	0.426		128	
18:0/18:1 P-PE	500	60.000	60.095	0.149	0.044	276	25	41.584	0.491		128	
18:0/18:1 P-PE	1000	60.000	57.592	0.156	0.084	250	25	42.164	0.490		128	
18:1/18:1 PE	1	20.000	60.735	0.170		286	25	41.295	0.463		128	
18:1/18:1 PE	250	20.000	59.958	0.150	0.013	262	25	41.808	0.435		128	
18:1/18:1 PE	500	20.000	58.268	0.197	0.041	285	25	41.808	0.435		128	
18:1/18:1 PE	750	20.000	57.749	0.206	0.049	284	25	41.736	0.515		128	
18:1/18:1 PE	1000	20.000	57.119	0.403	0.060	172	25	41.793	0.488		128	
18:1/18:1 PE	1500	20.000	49.112	0.913	0.191	1902	25	44.956	1.067	250	128	spent most of the production time relaxing into a gel-like condensed state
18:1/18:1 PC	1	20.000	67.642	0.144		267	25	38.565	0.404		128	
18:1/18:1 PC	250	20.000	66.830	0.137	0.012	254	25	38.482	0.451		128	
18:1/18:1 PC	500	20.000	65.829	0.165	0.027	264	25	38.524	0.420		128	
18:1/18:1 PC	750	20.000	65.374	0.274	0.034	260	25	38.417	0.363		128	
18:1/18:1 PC	1000	20.000	64.614	0.180	0.045	340	25	38.456	0.357		128	
18:1/18:1 PC	1500	20.000	63.073	0.179	0.068	327	25	38.688	0.363		128	