cnum	sn2	sn1	press_sim	comp
11	0.05123013631	0.2239109427	750	18:0/20:4 PE
12	0.03570533544	0.2114868015	750	18:0/20:4 PE
13	0.03501898423	0.1902814806	750	18:0/20:4 PE
14	0.05859433115	0.1738265902	750	18:0/20:4 PE
15	0.03915920481	0.1491888016	750	18:0/20:4 PE
16	0.0760788247	0.1279370338	750	18:0/20:4 PE
17	0.1097795367	0.09636215121	750	18:0/20:4 PE
18	0.1098826751	0.03103037737	750	18:0/20:4 PE
19	0.1026047915	0	750	18:0/20:4 PE
20	0.02541565895	0	750	18:0/20:4 PE
3	0.1569435298	0.2102967799	1000	18:0/20:4 PE
4	0.06830529869	0.2486902177	1000	18:0/20:4 PE
5	0.002149276901	0.255189687	1000	18:0/20:4 PE
6	0.108160086	0.268325448	1000	18:0/20:4 PE
7	0.05518290773	0.2636826932	1000	18:0/20:4 PE
8	0.03226749599	0.2645992935	1000	18:0/20:4 PE
9	0.07561185211	0.2526197731	1000	18:0/20:4 PE
10	0.05979055166	0.2453140765	1000	18:0/20:4 PE
11	0.05574515089	0.2276017815	1000	18:0/20:4 PE
12	0.03642300144	0.2154506892	1000	18:0/20:4 PE
13	0.03548309952	0.1949094385	1000	18:0/20:4 PE
14	0.06092238054	0.1780700088	1000	18:0/20:4 PE
15	0.04015893862	0.1536334902	1000	18:0/20:4 PE
16	0.07953608781	0.1314380765	1000	18:0/20:4 PE
17	0.1147453487	0.09886474907	1000	18:0/20:4 PE
18	0.1147807464	0.03158254549	1000	18:0/20:4 PE
19	0.1065089405	0	1000	18:0/20:4 PE
20	0.02600268647	0	1000	18:0/20:4 PE
3	0.1584882736	0.2119107842	1500	18:0/20:4 PE
4	0.0708206147	0.2501986325	1500	18:0/20:4 PE
5	0.006864499766	0.2576659918	1500	18:0/20:4 PE
6	0.1088936552	0.2724242508	1500	18:0/20:4 PE
7	0.05358663574	0.2702157199	1500	18:0/20:4 PE
8	0.03264113516	0.2728870213	1500	18:0/20:4 PE
9	0.07821103185	0.2637936771	1500	18:0/20:4 PE
10	0.05978754535	0.2588312924	1500	18:0/20:4 PE
11	0.05474109203	0.2438947707	1500	18:0/20:4 PE
12	0.04207571968	0.2325733602	1500	18:0/20:4 PE
13	0.03759017587	0.2120499015	1500	18:0/20:4 PE
14	0.06372608244	0.1950033009	1500	18:0/20:4 PE
15	0.04668561369	0.1694061756	1500	18:0/20:4 PE
16	0.08824686706	0.1450670362	1500	18:0/20:4 PE
17	0.1264456958	0.1093930081	1500	18:0/20:4 PE
18	0.1269697547	0.03388476744	1500	18:0/20:4 PE
19	0.1176403537	0	1500	18:0/20:4 PE
20	0.0283112172	0	1500	18:0/20:4 PE
3	0.1549246162	0.1455449611	0	18:0/20:4 P-PE
4	0.06908572465	0.2015342712	0	18:0/20:4 P-PE
5	0.00515995454	0.2224561572	0	18:0/20:4 P-PE
6	0.1147831306	0.2403981835	0	18:0/20:4 P-PE
7	0.05443173647	0.2387242019	0	18:0/20:4 P-PE
8	0.03542107344	0.2400601506	0	18:0/20:4 P-PE
9	0.05797123164	0.2300007194	0	18:0/20:4 P-PE
10	0.049037233	0.2221083343	0	18:0/20:4 P-PE
11	0.04893461987	0.206977576	0	18:0/20:4 P-PE
12	0.02838374674	0.1931527704	0	18:0/20:4 P-PE
13	0.03116434626	0.1737897098	0	18:0/20:4 P-PE
14	0.05411075056	0.1559614688	0	18:0/20:4 P-PE
15	0.02770593204	0.1339639276	0	18:0/20:4 P-PE
16	0.05937622488	0.1130949557	0	18:0/20:4 P-PE
17	0.08719303459	0.08550275117	0	18:0/20:4 P-PE
18	0.08672702312	0.02595239319	0	18:0/20:4 P-PE
19	0.08097417653	0	0	18:0/20:4 P-PE
20	0.01965150982	0	0	18:0/20:4 P-PE
3	0.1576978266	0.1458219439	250	18:0/20:4 P-PE
4	0.07028343529	0.2021340132	250	18:0/20:4 P-PE
5	0.005749033764	0.2236938924	250	18:0/20:4 P-PE
6	0.1136400104	0.241221264	250	18:0/20:4 P-PE
7	0.05368546396	0.2391865849	250	18:0/20:4 P-PE
8	0.03397255763	0.2396582514	250	18:0/20:4 P-PE
9	0.05812107772	0.2292712778	250	18:0/20:4 P-PE
10	0.05005243421	0.2208747417	250	18:0/20:4 P-PE
11	0.04851644859	0.2056513131	250	18:0/20:4 P-PE
12	0.0273644831	0.1918527782	250	18:0/20:4 P-PE
13	0.03092259355	0.1726448238	250	18:0/20:4 P-PE
14	0.05408260226	0.1556573659	250	18:0/20:4 P-PE
15	0.02869473025	0.1342269182	250	18:0/20:4 P-PE
16	0.06007659808	0.1134054288	250	18:0/20:4 P-PE
17	0.0881818682	0.08608435839	250	18:0/20:4 P-PE
18	0.08777847141	0.02592839859	250	18:0/20:4 P-PE
19	0.08204622567	0	250	18:0/20:4 P-PE
20	0.02010578662	0	250	18:0/20:4 P-PE
3	0.1583737284	0.1491715312	500	18:0/20:4 P-PE
4	0.07053390145	0.204115063	500	18:0/20:4 P-PE
5	0.006040432025	0.2262031287	500	18:0/20:4 P-PE
6	0.1149110198	0.2436169386	500	18:0/20:4 P-PE
7	0.053541556	0.242965892	500	18:0/20:4 P-PE
8	0.03306971118	0.244673565	500	18:0/20:4 P-PE
9	0.06041278318	0.2351720482	500	18:0/20:4 P-PE
10	0.05119707063	0.2275100201	500	18:0/20:4 P-PE
11	0.0505878143	0.2127024531	500	18:0/20:4 P-PE
12	0.02932290547	0.1999767125	500	18:0/20:4 P-PE
13	0.03045435622	0.181717962	500	18:0/20:4 P-PE
14	0.05365040898	0.1650286913	500	18:0/20:4 P-PE
15	0.03164813668	0.1437312663	500	18:0/20:4 P-PE
16	0.06443277001	0.1215814129	500	18:0/20:4 P-PE
17	0.09364384413	0.09253177792	500	18:0/20:4 P-PE
18	0.0932199955	0.02831921913	500	18:0/20:4 P-PE
19	0.08700036258	0	500	18:0/20:4 P-PE
20	0.02137733623	0	500	18:0/20:4 P-PE
3	0.161089763	0.1464121938	750	18:0/20:4 P-PE
4	0.07137770951	0.2036893666	750	18:0/20:4 P-PE
5	0.005600054748	0.226403147	750	18:0/20:4 P-PE
6	0.1156995073	0.2450419366	750	18:0/20:4 P-PE
7	0.05532504618	0.2442146838	750	18:0/20:4 P-PE
8	0.03537544608	0.2454879731	750	18:0/20:4 P-PE
9	0.05968373641	0.2359567583	750	18:0/20:4 P-PE
10	0.0508713536	0.2276218832	750	18:0/20:4 P-PE
11	0.04946113378	0.213001743	750	18:0/20:4 P-PE
12	0.02913157456	0.1996406764	750	18:0/20:4 P-PE
13	0.03199219704	0.1809331179	750	18:0/20:4 P-PE
14	0.05480206758	0.1637639701	750	18:0/20:4 P-PE
15	0.03048494458	0.1430217177	750	18:0/20:4 P-PE
16	0.06471755356	0.1216589361	750	18:0/20:4 P-PE
17	0.09508396685	0.09264059365	750	18:0/20:4 P-PE
18	0.0949222818	0.0281818863	750	18:0/20:4 P-PE
19	0.08857628703	0	750	18:0/20:4 P-PE
20	0.02182690986	0	750	18:0/20:4 P-PE
3	0.1638944596	0.146406576	1000	18:0/20:4 P-PE
4	0.07134737074	0.2057535201	1000	18:0/20:4 P-PE
5	0.004307871219	0.2301220298	1000	18:0/20:4 P-PE
6	0.1179141551	0.2486132085	1000	18:0/20:4 P-PE
7	0.05790769309	0.248712182	1000	18:0/20:4 P-PE
8	0.03888887167	0.2506224811	1000	18:0/20:4 P-PE
9	0.06143536046	0.2415089011	1000	18:0/20:4 P-PE
10	0.05289379507	0.2346464396	1000	18:0/20:4 P-PE
11	0.05387043953	0.2210300714	1000	18:0/20:4 P-PE
12	0.02886020951	0.2082261145	1000	18:0/20:4 P-PE
13	0.03082033992	0.1897877753	1000	18:0/20:4 P-PE
14	0.05595073104	0.1729032844	1000	18:0/20:4 P-PE
15	0.03483210132	0.1512103528	1000	18:0/20:4 P-PE
16	0.06913723052	0.1285308748	1000	18:0/20:4 P-PE
17	0.101165399	0.09803667665	1000	18:0/20:4 P-PE
18	0.1009193361	0.02981951833	1000	18:0/20:4 P-PE
19	0.09387123585	0	1000	18:0/20:4 P-PE
20	0.02316132374	0	1000	18:0/20:4 P-PE
3	0.1648856252	0.1515199393	1500	18:0/20:4 P-PE
4	0.07241475582	0.2106115073	1500	18:0/20:4 P-PE
5	0.005941629875	0.2366212606	1500	18:0/20:4 P-PE
6	0.1161081269	0.2564373314	1500	18:0/20:4 P-PE
7	0.05692575499	0.256816119	1500	18:0/20:4 P-PE
8	0.03914671391	0.2598263323	1500	18:0/20:4 P-PE
9	0.06173809618	0.2520232201	1500	18:0/20:4 P-PE
10	0.05048421398	0.2461854517	1500	18:0/20:4 P-PE
11	0.04887598753	0.2341406047	1500	18:0/20:4 P-PE
12	0.03403723985	0.2221494466	1500	18:0/20:4 P-PE
13	0.03319916129	0.204771176	1500	18:0/20:4 P-PE
14	0.05605415255	0.188078016	1500	18:0/20:4 P-PE
15	0.03868603706	0.1659800559	1500	18:0/20:4 P-PE
16	0.07553393394	0.1422863901	1500	18:0/20:4 P-PE
17	0.1097996086	0.1092530042	1500	18:0/20:4 P-PE
18	0.1099124923	0.03302355483	1500	18:0/20:4 P-PE
19	0.1017852873	0	1500	18:0/20:4 P-PE
20	0.02492120489	0	1500	18:0/20:4 P-PE
3	0.208889842	0.187752977	0	18:0/18:1 PE
4	0.2112535685	0.2202023417	0	18:0/18:1 PE
5	0.2241979688	0.2238687277	0	18:0/18:1 PE
6	0.2039763033	0.2363782078	0	18:0/18:1 PE
7	0.1955958307	0.2314290553	0	18:0/18:1 PE
8	0.1188163087	0.2322142422	0	18:0/18:1 PE
9	0.1188163087	0.2199126631	0	18:0/18:1 PE
10	0.1188163087	0.2131313533	0	18:0/18:1 PE
11	0.09764097631	0.1955670118	0	18:0/18:1 PE
12	0.1462988108	0.1834378988	0	18:0/18:1 PE
13	0.1513004005	0.1634153724	0	18:0/18:1 PE
14	0.1562534869	0.1478985548	0	18:0/18:1 PE
15	0.1393980682	0.1252977401	0	18:0/18:1 PE
16	0.1257533431	0.1054144949	0	18:0/18:1 PE
17	0.09536007792	0.07784185559	0	18:0/18:1 PE
18	0.03187679127	0.02355356514	0	18:0/18:1 PE
3	0.2227202356	0.2018988132	500	18:0/18:1 PE
4	0.2251850665	0.2351301163	500	18:0/18:1 PE
5	0.2406582832	0.2401680648	500	18:0/18:1 PE
6	0.220359087	0.2529517114	500	18:0/18:1 PE
7	0.2112309337	0.2487462908	500	18:0/18:1 PE
8	0.1287506968	0.2504504919	500	18:0/18:1 PE
9	0.1287506968	0.2394726425	500	18:0/18:1 PE
10	0.1287506968	0.2332882583	500	18:0/18:1 PE
11	0.1107009426	0.2165954262	500	18:0/18:1 PE
12	0.1665802449	0.2050784528	500	18:0/18:1 PE
13	0.1739002913	0.1849385798	500	18:0/18:1 PE
14	0.1792834848	0.1686426103	500	18:0/18:1 PE
15	0.1619656682	0.1445544809	500	18:0/18:1 PE
16	0.1466495991	0.1226948351	500	18:0/18:1 PE
17	0.112203002	0.0909858495	500	18:0/18:1 PE
18	0.03811503574	0.02764009498	500	18:0/18:1 PE
3	0.2394272387	0.216959253	1000	18:0/18:1 PE
4	0.2425908446	0.249787271	1000	18:0/18:1 PE
5	0.2597679496	0.2565701902	1000	18:0/18:1 PE
6	0.2395576686	0.2707026303	1000	18:0/18:1 PE
7	0.229835391	0.2682760358	1000	18:0/18:1 PE
8	0.1411180347	0.2709284425	1000	18:0/18:1 PE
9	0.1411180347	0.2617815733	1000	18:0/18:1 PE
10	0.1411180347	0.2560454011	1000	18:0/18:1 PE
11	0.1259056628	0.2407264411	1000	18:0/18:1 PE
12	0.188956812	0.2298307866	1000	18:0/18:1 PE
13	0.1989229769	0.2095003873	1000	18:0/18:1 PE
14	0.2055449635	0.1925331056	1000	18:0/18:1 PE
15	0.1882540584	0.1664404869	1000	18:0/18:1 PE
16	0.1717317998	0.1408709139	1000	18:0/18:1 PE
17	0.1319328547	0.1034508944	1000	18:0/18:1 PE
18	0.04557416588	0.03102738596	1000	18:0/18:1 PE
3	0.2092062384	0.1477005929	0	18:0/18:1 P-PE
4	0.2101968825	0.189664945	0	18:0/18:1 P-PE
5	0.2205401808	0.208362624	0	18:0/18:1 P-PE
6	0.2021378726	0.2249447703	0	18:0/18:1 P-PE
7	0.1908722967	0.2237123251	0	18:0/18:1 P-PE
8	0.119751662	0.2246128768	0	18:0/18:1 P-PE
9	0.07938015461	0.2160641402	0	18:0/18:1 P-PE
10	0.06578642875	0.2080195397	0	18:0/18:1 P-PE
11	0.09048265219	0.193976149	0	18:0/18:1 P-PE
12	0.1366599053	0.1811439991	0	18:0/18:1 P-PE
13	0.1397728175	0.163432166	0	18:0/18:1 P-PE
14	0.1443897635	0.1463014036	0	18:0/18:1 P-PE
15	0.1277056485	0.1260460168	0	18:0/18:1 P-PE
16	0.1149997041	0.105271399	0	18:0/18:1 P-PE
17	0.08666763455	0.07879794389	0	18:0/18:1 P-PE
18	0.02931986563	0.02294253185	0	18:0/18:1 P-PE
3	0.2206774652	0.1529149413	500	18:0/18:1 P-PE
4	0.221176073	0.1961331218	500	18:0/18:1 P-PE
5	0.2321033627	0.2178515494	500	18:0/18:1 P-PE
6	0.2132618874	0.2349304259	500	18:0/18:1 P-PE
7	0.2018550634	0.2346340716	500	18:0/18:1 P-PE
8	0.1259267926	0.2363495231	500	18:0/18:1 P-PE
9	0.08199382573	0.2285136133	500	18:0/18:1 P-PE
10	0.07044620812	0.2213128507	500	18:0/18:1 P-PE
11	0.09903841466	0.2078844607	500	18:0/18:1 P-PE
12	0.1494089514	0.1953624189	500	18:0/18:1 P-PE
13	0.1546714455	0.1782721728	500	18:0/18:1 P-PE
14	0.1598851085	0.1618679464	500	18:0/18:1 P-PE
15	0.1432158947	0.1408406049	500	18:0/18:1 P-PE
16	0.1297668666	0.1187986434	500	18:0/18:1 P-PE
17	0.09799262881	0.08908476681	500	18:0/18:1 P-PE
18	0.03345316276	0.02584982105	500	18:0/18:1 P-PE
3	0.2269054204	0.1590442359	1000	18:0/18:1 P-PE
4	0.2285763025	0.2046984732	1000	18:0/18:1 P-PE
5	0.2411006242	0.2277429998	1000	18:0/18:1 P-PE
6	0.2230943888	0.2465603352	1000	18:0/18:1 P-PE
7	0.2116646469	0.2480492145	1000	18:0/18:1 P-PE
8	0.1315534264	0.2503696084	1000	18:0/18:1 P-PE
9	0.08273760974	0.2436291128	1000	18:0/18:1 P-PE
10	0.07562469691	0.2375903279	1000	18:0/18:1 P-PE
11	0.1108820662	0.2250327468	1000	18:0/18:1 P-PE
12	0.1655417532	0.212467134	1000	18:0/18:1 P-PE
13	0.1727529913	0.1953275651	1000	18:0/18:1 P-PE
14	0.1787461787	0.1782970876	1000	18:0/18:1 P-PE
15	0.1614314318	0.1567729563	1000	18:0/18:1 P-PE
16	0.1468019783	0.1325720698	1000	18:0/18:1 P-PE
17	0.1117655039	0.09968802333	1000	18:0/18:1 P-PE
18	0.03830749914	0.02893558145	1000	18:0/18:1 P-PE