filename	deq_beg	deq_end	n_dils
20220817_SAPPE_1mMCa_000bar_a.tsv	1630	1700	1
20220817_SAPPE_1mMCa_000bar_b.tsv	1630	1680	1
20220817_SAPPE_1mMCa_100bar_a.tsv	1820	1870	3
20220817_SAPPE_1mMCa_100bar_b.tsv	1750	1800	2
20220817_SAPPE_1mMCa_200bar_a.tsv	1750	1800	0
20220817_SAPPE_1mMCa_200bar_b.tsv	1670	1720	2
20220818_SAPE_1mMCa_000bar_a.tsv	1580	1630	0
20220818_SAPE_1mMCa_000bar_b.tsv	1890	1940	2
20220818_SAPE_1mMCa_100bar_a.tsv	1820	1870	2
20220818_SAPE_1mMCa_100bar_b.tsv	1635	1685	2
20220818_SAPE_1mMCa_200bar_a.tsv	1665	1715	3
20220818_SAPE_1mMCa_200bar_b.tsv	1665	1715	3
20220818_SAPPE_1mMCa_000bar_c.tsv	2120	2170	2
20220818_SAPPE_1mMCa_100bar_c.tsv	2465	2515	3
20220818_SAPPE_1mMCa_100bar_d.tsv	1600	1650	0
20220818_SAPPE_1mMCa_200bar_c.tsv	1750	1800	3
20220819_SAPE_1mMCa_000bar_c.tsv	1605	1655	3
20220819_SAPE_1mMCa_100bar_c.tsv	1920	1970	3
20220819_SAPE_1mMCa_200bar_c.tsv	1550	1600	3