																																																																				
		Plasmanyl/Plasmenyl Phosphatidylethanolamine Profile; P-PE																																																																		
																																																																				
		ND = not detected																																																																		
																																																																				
																																																																				
			Normalized Intensities  (UNIT = Intensity ratio / mg)																																																																	
	Sample ID		P-PE 29:0_10.59	P-PE 32:1_20.16	P-PE 32:4_14.60	P-PE 33:5_15.08	P-PE 34:1_24.03	P-PE 34:1_24.30 | P-16:0/18:1	P-PE 34:3_20.01	P-PE 34:4_18.50	P-PE 34:5_14.48 | P-14:0/20:5	P-PE 35:3_23.94	P-PE 35:5_19.19	P-PE 36:3_21.60	P-PE 36:4_21.01 | P-16:0/20:4	P-PE 36:4_22.82	P-PE 36:5_16.78 | P-16:0/20:5	P-PE 36:5_18.35 | P-16:0/20:5	P-PE 36:6_14.97 | P-16:1/20:5	P-PE 36:6_15.99	P-PE 36:7_16.32	P-PE 37:2_26.07 | P-20:1/17:1	P-PE 37:4_23.10 | P-17:0/20:4	P-PE 37:5_19.78 | P-17:0/20:5	P-PE 37:5_20.53 | P-17:0/20:5	P-PE 37:6_17.98 | P-15:0_22:6	P-PE 37:6_20.01	P-PE 37:7_19.78	P-PE 38:1_26.78	P-PE 38:1_27.57 | 16:0_P-22:1	P-PE 38:2_26.64 | P-20:1/18:1	P-PE 38:3_25.73 | 18:2_P-20:1	P-PE 38:4_23.25	P-PE 38:4_24.98 | P-18:0/20:4	P-PE 38:5_21.12 | P-18:0/20:5	P-PE 38:5_22.67 | P-18:0/20:5	P-PE 38:6_18.85 | P-18:1/20:5	P-PE 38:6_20.14 | P-16:0/22:6	P-PE 38:7_20.69	P-PE 38:8_19.23	P-PE 39:6_20.89 | P-19:1/20:5	P-PE 39:7_22.83	P-PE 39:8_20.60	P-PE 40:2_27.71 | P-20:1/20:1	P-PE 40:2_27.71 | P-22:1/18:1	P-PE 40:5_23.42 | P-20:0/20:5	P-PE 40:5_25.12 | P-20:1/20:4	P-PE 40:6_22.91 | P-20:1/20:5	P-PE 40:6_24.26 | P-18:0/22:6	P-PE 40:7_19.78 | P-20:2/20:5	P-PE 40:7_20.60 | P-18:1/22:6	P-PE 41:3_27.35	P-PE 41:5_22.35	P-PE 41:5_25.14	P-PE 41:5_26.12 | P-21:1/20:4	P-PE 41:6_24.76 | P-21:1/20:5	P-PE 42:2_28.26 | P-22:1/20:1	P-PE 42:3_27.76	P-PE 42:5_26.17 | P-22:0/20:5	P-PE 42:5_26.82 | P-22:1/20:4	P-PE 42:6_24.91 | P-20:0/22:6	P-PE 42:6_25.92 | P-22:1/20:5	P-PE 42:7_23.71	P-PE 42:7_24.48 | P-20:1/22:6	P-PE 43:6_26.05 | P-21:0_22:6	P-PE 43:7_25.75 | P-21:1/22:6	P-PE 44:6_26.71 | P-22:0/22:6	P-PE 44:7_26.53 | P-22:1/22:6
	JWL0021		ND	ND	0.04	ND	0.02	0.28	ND	0.30	ND	0.18	0.14	0.03	0.12	0.05	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.07	ND	1.00	ND	0.08	ND	0.04	0.28	ND	ND	ND	0.18	ND	0.04	0.02	ND	ND	ND	0.10	2.89	ND	ND	ND	ND	0.02	0.03	ND	0.05	ND	ND	ND	ND	ND	0.55	0.09	ND	ND	ND	ND	0.10
	JWL0025		ND	0.18	0.48	0.26	ND	3.36	0.08	ND	ND	0.21	0.63	ND	0.57	0.32	ND	5.80	ND	ND	ND	ND	ND	0.06	0.13	ND	0.06	ND	ND	0.18	21.27	0.19	0.24	ND	ND	ND	0.28	ND	0.09	ND	ND	0.44	0.30	ND	5.28	9.94	2.03	28.22	ND	ND	ND	ND	ND	0.15	ND	ND	ND	ND	3.51	0.53	3.76	7.94	0.18	ND	0.06	ND	ND	ND
	JWL0028		0.04	ND	0.19	0.04	ND	0.23	0.12	ND	ND	0.09	0.19	ND	0.06	0.02	ND	ND	ND	ND	0.03	0.02	ND	0.02	ND	ND	0.18	ND	0.06	0.02	0.93	ND	ND	ND	ND	0.06	ND	0.27	0.03	ND	ND	0.03	0.06	ND	ND	ND	0.05	1.62	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	0.08	ND	0.91	0.05	ND	0.50	ND	ND	ND	0.02
	JWL0034		0.22	ND	0.52	0.14	ND	ND	0.28	ND	ND	ND	0.45	ND	ND	ND	ND	5.60	0.10	ND	0.09	ND	ND	ND	ND	ND	0.47	ND	ND	0.06	4.45	ND	0.16	ND	ND	0.22	0.15	1.79	ND	ND	ND	ND	0.31	ND	1.58	9.25	ND	9.08	ND	ND	0.10	ND	ND	0.07	ND	0.14	ND	ND	ND	ND	ND	1.98	ND	3.01	0.06	ND	ND	ND
	JWL0039		ND	0.32	ND	ND	ND	7.40	0.61	ND	0.13	0.13	0.48	0.11	ND	0.41	ND	18.02	ND	ND	0.10	0.32	ND	0.23	0.12	ND	ND	ND	1.09	ND	21.26	ND	ND	ND	ND	1.50	0.53	2.88	0.11	ND	ND	ND	ND	ND	ND	15.38	0.98	36.63	ND	ND	0.18	0.16	0.32	ND	ND	0.21	ND	0.19	ND	ND	9.86	2.70	ND	6.14	ND	ND	ND	1.30
	JWL0042		ND	0.37	ND	ND	ND	1.97	ND	ND	0.47	0.22	0.44	0.32	3.86	0.53	ND	15.20	ND	0.19	ND	ND	0.50	0.22	2.07	0.20	ND	0.31	ND	ND	ND	0.33	ND	5.11	ND	18.67	0.80	6.93	ND	ND	ND	ND	ND	ND	ND	ND	2.19	10.73	4.99	0.19	0.16	0.08	ND	ND	ND	0.44	ND	0.08	ND	5.76	ND	12.75	0.32	2.18	ND	ND	ND	2.23
	JWL0043		ND	0.12	ND	ND	ND	ND	ND	ND	0.20	ND	0.39	ND	1.96	0.29	ND	6.53	ND	0.07	ND	0.49	0.27	ND	ND	0.10	ND	0.11	ND	ND	ND	0.10	ND	2.90	ND	8.54	0.33	2.73	ND	ND	ND	0.51	ND	ND	ND	ND	1.25	ND	1.98	0.06	0.05	ND	ND	ND	0.14	0.19	ND	ND	ND	1.97	ND	4.86	0.09	ND	ND	ND	ND	ND
	JWL0044		ND	1.19	ND	ND	ND	5.48	ND	ND	1.21	0.23	1.01	ND	13.95	0.90	ND	34.66	0.22	0.46	ND	7.27	2.25	ND	5.81	0.39	ND	0.57	ND	ND	8.82	ND	ND	17.04	ND	40.79	2.87	13.27	0.18	ND	0.27	ND	ND	1.71	4.35	4.85	13.19	30.94	8.22	0.67	0.62	ND	ND	0.23	1.03	1.48	1.03	0.24	10.53	21.88	ND	10.65	0.64	ND	ND	ND	ND	ND
	JWL0058		ND	0.10	0.36	0.11	0.57	2.21	0.26	ND	ND	0.16	0.60	ND	0.38	ND	ND	17.42	ND	ND	0.09	0.10	ND	ND	ND	ND	0.50	0.29	ND	ND	17.84	ND	ND	ND	ND	3.79	1.47	4.68	0.23	ND	0.12	ND	ND	0.91	2.84	49.41	ND	76.26	ND	0.34	ND	ND	0.44	ND	ND	ND	ND	ND	18.43	ND	14.20	16.12	ND	7.92	0.17	ND	3.45	1.37
	JWL0062		ND	0.36	ND	0.25	0.38	ND	ND	1.46	5.55	0.34	ND	ND	29.80	ND	22.85	213.90	10.84	ND	ND	ND	ND	7.12	8.88	3.05	ND	0.71	ND	ND	7.00	ND	ND	7.90	ND	38.18	61.73	116.08	ND	ND	4.91	ND	0.97	ND	58.89	65.97	45.14	223.23	16.22	9.73	30.08	0.35	7.80	ND	3.03	12.42	24.73	ND	180.35	48.72	110.68	280.13	ND	156.33	17.31	8.68	272.37	243.58
	JWL0070		ND	ND	ND	ND	0.25	ND	ND	0.34	ND	ND	ND	ND	13.62	ND	9.27	35.96	1.76	ND	0.35	ND	4.63	66.29	7.92	0.43	0.35	ND	4.19	2.90	22.36	1.15	ND	21.95	7.16	38.31	87.43	20.13	ND	ND	32.82	ND	0.32	96.59	42.88	ND	225.72	474.82	35.51	28.38	51.18	ND	ND	ND	61.00	40.55	30.14	ND	10.27	177.00	46.85	291.47	ND	328.14	ND	21.92	47.50	247.83
	JWL0099		0.04	0.04	ND	ND	ND	ND	ND	0.31	ND	0.12	ND	ND	3.09	ND	0.75	7.77	0.16	0.04	ND	ND	ND	2.93	1.56	ND	0.06	ND	ND	ND	4.14	ND	ND	6.69	1.64	10.15	10.08	4.81	ND	0.14	4.54	ND	0.05	4.52	8.27	4.40	61.15	112.28	9.10	3.81	7.33	0.30	ND	ND	9.26	6.23	6.97	ND	ND	61.74	9.06	65.75	ND	75.62	ND	2.53	10.21	70.68
	JWL0100		0.02	0.10	ND	ND	0.02	ND	ND	0.29	ND	0.12	0.05	0.17	ND	ND	0.39	1.59	ND	ND	ND	ND	0.13	0.17	ND	ND	ND	ND	ND	0.11	2.88	0.07	0.23	1.11	0.32	2.11	2.83	ND	ND	0.10	ND	ND	ND	3.74	4.37	ND	12.36	31.25	1.92	ND	2.27	0.09	ND	ND	2.33	ND	3.95	0.12	ND	8.45	ND	22.35	ND	22.32	0.09	ND	ND	19.40
	JWL0131		ND	ND	ND	ND	ND	ND	ND	0.13	0.01	ND	0.08	0.31	0.14	ND	ND	0.87	ND	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.16	ND	0.08	0.14	0.22	0.60	0.03	0.16	ND	ND	ND	ND	ND	ND	ND	1.74	ND	ND	0.19	ND	ND	0.08	ND	0.11	ND	ND	3.29	1.43	ND	5.40	ND	1.05	0.12	0.07	7.18	4.85
	JWL0148		0.07	ND	ND	ND	ND	ND	ND	0.12	ND	0.12	0.05	0.09	0.07	0.11	0.04	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.03	ND	ND	ND	0.05	ND	ND	0.06	0.15	ND	0.04	0.07	0.01	0.15	ND	ND	ND	ND	0.10	ND	ND	ND	0.09	ND	0.05	0.14	ND	0.04	ND	0.02	ND	ND	ND	1.49	ND	ND	ND	0.03	ND	1.66
																																																																				
	Total Analytes	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
	Total MS2 Confirmed	40	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1
