rep	OD	press	time	strain	wild
A	0.395	1	24	PlsCP	FALSE
B	0.379	1	24	PlsCP	FALSE
C	0.4	1	24	PlsCP	FALSE
A	0.371	250	24	PlsCP	FALSE
B	0.396	250	24	PlsCP	FALSE
C	0.363	250	24	PlsCP	FALSE
A	0.438	500	24	PlsCP	FALSE
B	0.349	500	24	PlsCP	FALSE
C	0.362	500	24	PlsCP	FALSE
A	0.406	1	24	pET28	TRUE
B	0.418	1	24	pET28	TRUE
C	0.411	1	24	pET28	TRUE
A	0.368	250	24	pET28	TRUE
B	0.342	250	24	pET28	TRUE
C	0.299	250	24	pET28	TRUE
A	0.292	500	24	pET28	TRUE
B	0.296	500	24	pET28	TRUE
C	0.327	500	24	pET28	TRUE
A	0.2	1	0	PlsCP	FALSE
B	0.2	1	0	PlsCP	FALSE
C	0.2	1	0	PlsCP	FALSE
A	0.2	250	0	PlsCP	FALSE
B	0.2	250	0	PlsCP	FALSE
C	0.2	250	0	PlsCP	FALSE
A	0.2	500	0	PlsCP	FALSE
B	0.2	500	0	PlsCP	FALSE
C	0.2	500	0	PlsCP	FALSE
A	0.2	1	0	pET28	TRUE
B	0.2	1	0	pET28	TRUE
C	0.2	1	0	pET28	TRUE
A	0.2	250	0	pET28	TRUE
B	0.2	250	0	pET28	TRUE
C	0.2	250	0	pET28	TRUE
A	0.2	500	0	pET28	TRUE
B	0.2	500	0	pET28	TRUE
C	0.2	500	0	pET28	TRUE
A	0.01023934662	1	1.0326313	K12	TRUE
A	0.03103565622	1	2.006654819	K12	TRUE
A	0.151835747	1	2.966309978	K12	TRUE
A	0.2937951374	1	3.520626158	K12	TRUE
A	0.4621015616	1	3.956214315	K12	TRUE
A	0.7646235868	1	4.372518622	K12	TRUE
A	1.164109351	1	6.326615495	K12	TRUE
A	1.16634779	1	7.820546754	K12	TRUE
A	1.168450108	1	9.83173895	K12	TRUE
A	1.138216055	1	24.72114039	K12	TRUE
A	0.007350550157	1	2.010057852	AN62	FALSE
A	0.03313797406	1	4.017847015	AN62	FALSE
A	0.04339244527	1	5.05085643	AN62	FALSE
A	0.1981472379	1	6.982644534	AN62	FALSE
A	0.5318561652	1	8.888720838	AN62	FALSE
A	0.6473777744	1	9.906605664	AN62	FALSE
A	0.7602677052	1	10.92486861	AN62	FALSE
A	0.822656634	1	13.84693916	AN62	FALSE
A	0.9380723712	1	25.26713805	AN62	FALSE
A	0	600	0	K12	TRUE
A	0.004081792849	600	19.23976608	K12	TRUE
A	0.003971898426	600	20.87719298	K12	TRUE
A	0.003697162369	600	24.97076023	K12	TRUE
A	0.02188468935	600	33.97660819	K12	TRUE
A	0.01573845127	600	45.55555556	K12	TRUE
A	0	600	0.05847953216	AN62	FALSE
A	0.02287373916	600	19.23976608	AN62	FALSE
A	0.03617881393	600	20.99415205	AN62	FALSE
A	0.05752188076	600	22.98245614	AN62	FALSE
A	0.0788649476	600	24.97076023	AN62	FALSE
A	0.1109384199	600	27.07602339	AN62	FALSE
A	0.218187527	600	29.06432749	AN62	FALSE
A	0.3334903254	600	31.05263158	AN62	FALSE
A	0.7574551592	600	33.97660819	AN62	FALSE
A	0.8882216728	600	45.55555556	AN62	FALSE
A	0.9039679736	600	50.93567251	AN62	FALSE